2024-01-12, V&V, Terminals, Building, Bread&Coffee Suður, Stage 5, Berglind, 3, 01-Dec-23, 01-Mar-24
2024-01-12, V&V, Terminals, Building, Bread&Coffee Norður, Stage 5, Berglind, 3, 01-Dec-23, 01-Jan-24
2024-01-12, V&V, Terminals, Building, Outodoor lifestyle, Stage 5, Kaja, 3, 01-Dec-23, 01-May-24
2024-01-12, V&V, Terminals, Building, Gifts & local handcraft - ITT  sent out / Sara, Stage 5, Sara, 3, 01-Dec-23, 01-Oct-24
2024-01-12, V&V, Terminals, Building, Foddmarket - ITT sent out / Valdís Norður, Stage 5, Berglind, 3, 01-Dec-23, 01-Apr-24
2024-01-12, V&V, Terminals, Building, Foddmarket - ITT sent out / Valdís Suður, Stage 5, Berglind, 3, 01-Feb-24, 01-Jun-24
2024-01-12, V&V, Terminals, Building, Grab'n Go Deli Vending, Procurement, Sara, 3, 01-Dec-23, 01-Mar-24
2024-01-12, V&V, Terminals, Building, Breytingar á suður 1. hæð, Stage 4, Kaja, 3, 01-Dec-23, 01-Jun-24
2024-01-12, V&V, Terminals, Building, Breytingar á komusal, Stage 4, Kaja, 3, 01-Dec-23, 01-Jun-24
2024-01-12, V&V, Terminals, Building, Dutyfree, Procurement, Valdís Gunnhildur Þórunn Mar., 3, 01-Dec-23, 01-Nov-24
2024-01-12, V&V, Terminals, Building, Pop ups, Procurement, Kaja, 3, 01-Dec-23, 01-Dec-24
2024-01-12, V&V, Terminals, Building, Convenience í komusal, Procurement, Sara, 3, 01-Dec-23, 01-Jun-24
2024-01-12, SOF, Landside, Civil, A-Rútur, Procurement, Jóhann, 3, 01-Dec-23, 01-Oct-24
2024-01-12, SOF, Landside, Civil, Hótel, Procurement, Jóhann, 3, 01-Dec-24, 01-Dec-24
2024-01-12, SOF, Landside, Civil, Leigubílar, Procurement, Jóhann, 3, 01-Dec-23, 01-Apr-24
2024-01-12, SOF, Landside, Civil, Lóðir fyrir bílaleigur, Procurement, Jóhann, 3, 01-Dec-23, 01-Mar-24
2024-01-12, SOF, Landside, Civil, Bílaleigur - Bílastæðahús, Procurement, Jóhann , 3, 01-Aug-24, 01-Jan-25
2024-01-12, SOF, Landside, Civil, Númerakerfi, Stage 5, Helga, 3, 01-Dec-23, 01-Dec-23
2024-01-12, FUPP, Terminals, Building, SLN18 - East Wing, Stage 2, Brynjar Vatnsdal, 1, 01-Oct-21, 10-Jun-22
2024-01-12, FUPP, Terminals, Building, SLN21 - SE, Stage 2, Brynjar Vatnsdal, 1, 02-Aug-21, 31-Mar-23
2024-01-12, FUPP, Terminals, Building, Customs Hall, Stage 1, Benedikt Magnússon, 3, 30-Jun-23, 05-Sep-23
2024-01-12, FUPP, Terminals, Building, Customs Hall, Stage 2, Benedikt Magnússon, 3, 12-Sep-23, 17-Mar-26
2024-01-12, FUPP, Terminals, Building, FWT22 - Furniture Works, Stage 1, Ester Jónsdóttir & Bruno Clark, 3, 25-Sep-23, 19-Dec-23
2024-01-12, FUPP, Terminals, Building, FWT22 - Furniture Works, Stage 2, Ester Jónsdóttir & Bruno Clark, 3, 10-Jan-24, 18-Jun-24
2024-01-12, FUPP, Terminals, Building, FWT22 - Furniture Works, Procurement, xx, 3, 17-Jul-24, 12-Sep-24
2024-01-12, FUPP, Terminals, Building, Re-Design Commercial Area South, Stage 1, Benedikt Magnússon, 2, 02-Feb-26, 21-Apr-26
2024-01-12, FUPP, Terminals, Building, Re-Design Commercial Area South, Stage 2, Benedikt Magnússon, 2, 30-Apr-26, 20-Oct-26
2024-01-12, FUPP, Terminals, Building, East Pier, Stage 0, Brynjar Vatnsdal, 1, 01-Jul-22, 13-Jan-23
2024-01-12, FUPP, Terminals, Building, East Pier, Stage 1, Brynjar Vatnsdal, 1, 16-Jan-23, 20-Feb-24
2024-01-12, FUPP, Terminals, Building, East Pier, Stage 2, Brynjar Vatnsdal, 1, 21-Feb-24, 17-Sep-24
2024-01-12, FUPP, Terminals, Building, East Pier, Stage 0, Brynjar Vatnsdal, 1, 13-Jan-25, 21-Feb-25
2024-01-12, FUPP, Terminals, Building, East Pier, Stage 1, Brynjar Vatnsdal, 1, 24-Feb-25, 15-Apr-25
2024-01-12, FUPP, Terminals, Building, East Pier, Stage 2, Brynjar Vatnsdal, 1, 16-Apr-25, 16-Sep-25
2024-01-12, FUPP, Terminals, Building, Security Second Floor Improvements, Stage 0, xx, 3, 02-Mar-26, 15-Apr-26
2024-01-12, FUPP, Terminals, Building, Security Second Floor Improvements, Stage 1, xx, 3, 16-Apr-26, 16-Jun-26
2024-01-12, FUPP, Terminals, Building, Security Second Floor Improvements, Stage 2, xx, 3, 25-Jun-26, 17-Nov-26
2024-01-12, FUPP, Terminals, Building, Office Space EW, Stage 2, Gísli Guðmundsson, 3, 01-Sep-23, 22-Dec-23
2024-01-12, FUPP, Terminals, Utilities, DAL23 - Isavia Office Space DAL, Stage 2, Gísli Guðmundsson, 3, 31-Mar-23, 31-Mar-23
2024-01-12, FUPP, Terminals, Utilities, Isavia Office Space KEF, Stage 2, Gísli Guðmundsson, 3, 31-Mar-23, 31-Mar-23
2024-01-12, FUPP, Terminals, Utilities, Wifi, Stage 0, xx, 3, 01-Oct-25, 11-Nov-25
2024-01-12, FUPP, Terminals, Utilities, Wifi, Stage 1, xx, 3, 12-Nov-25, 20-Jan-26
2024-01-12, FUPP, Terminals, Utilities, Wifi, Stage 2, xx, 3, 28-Jan-26, 21-Jul-26
2024-01-12, FUPP, Airfield, Civil, NTA22 - SLN & East Pier Apron, Stage 2, Brynjar Vatnsdal, 2, 22-Feb-22, 09-May-22
2024-01-12, FUPP, Airfield, Civil, NTA22 - SLN & East Pier Apron, Stage 2, Brynjar Vatnsdal, 2, 01-Feb-22, 30-Jun-22
2024-01-12, FUPP, Airfield, Civil, NTA26 - SLN & West Pier Apron, Stage 2, Brynjar Vatnsdal, 2, 02-May-22, 20-Jun-22
2024-01-12, FUPP, Airfield, Civil, NTA28 - East Wing & East Pier Apron, Stage 2, Brynjar Vatnsdal, 2, 08-Jan-24, 18-Jun-24
2024-01-12, FUPP, Airfield, Civil, Taxiway Bravo, Stage 2, Benedikt Magnússon, 1, 30-Jun-23, 17-Oct-23
2024-01-12, FUPP, Airfield, Civil, De-Icing, Stage 2, Benedikt Magnússon, 1, 30-Jun-23, 17-Oct-23
2024-01-12, FUPP, Airfield, Civil, Taxiway Sierra Tango, Stage 0, Benedikt Magnússon, 2, 01-Apr-26, 20-May-26
2024-01-12, FUPP, Airfield, Civil, Taxiway Sierra Tango, Stage 1, Benedikt Magnússon, 2, 21-May-26, 21-Jul-26
2024-01-12, FUPP, Airfield, Civil, Taxiway Sierra Tango, Stage 2, Benedikt Magnússon, 2, 29-Jul-26, 19-Jan-27
